team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Atlanta Hawks,2010-11,44,38,0.537,95.0,0.462,0.352,17.4,9.3,30.0,39.3,22.0,13.6,4.2
Boston Celtics,2010-11,56,26,0.683,96.5,0.486,0.365,13.6,7.8,31.0,38.8,23.4,14.6,4.2
Charlotte Bobcats,2010-11,34,48,0.415,93.3,0.451,0.327,14.7,10.3,29.8,40.1,21.1,14.5,5.3
Chicago Bulls,2010-11,62,20,0.756,98.6,0.462,0.361,17.3,11.8,32.4,44.2,22.3,14.2,5.7
Cleveland Cavaliers,2010-11,19,63,0.232,95.5,0.434,0.342,18.2,10.4,29.9,40.3,21.0,14.2,4.2
Dallas Mavericks,2010-11,57,25,0.695,100.2,0.475,0.365,21.6,9.5,31.9,41.4,23.8,14.0,4.3
Denver Nuggets,2010-11,50,32,0.61,107.5,0.476,0.388,20.8,9.6,32.3,42.0,22.1,14.1,4.3
Detroit Pistons,2010-11,30,52,0.366,97.0,0.46,0.376,15.3,11.4,27.3,38.6,21.1,13.0,4.0
Golden State Warriors,2010-11,36,46,0.439,103.4,0.461,0.392,21.3,11.6,28.9,40.5,22.5,14.6,5.0
Houston Rockets,2010-11,43,39,0.524,105.9,0.454,0.367,22.5,11.7,31.1,42.8,23.8,13.5,4.5
Indiana Pacers,2010-11,37,45,0.451,99.8,0.442,0.354,20.2,11.1,32.4,43.5,19.6,15.4,5.6
Los Angeles Clippers,2010-11,32,50,0.39,98.6,0.457,0.338,18.5,11.6,30.5,42.1,22.1,16.4,4.9
Los Angeles Lakers,2010-11,57,25,0.695,101.5,0.463,0.352,18.1,12.1,31.9,44.0,22.0,13.1,5.1
Memphis Grizzlies,2010-11,46,36,0.561,99.9,0.471,0.334,11.3,11.8,29.2,41.0,20.6,14.0,5.4
Miami Heat,2010-11,58,24,0.707,102.1,0.481,0.37,18.0,9.6,32.5,42.1,20.0,13.9,5.2
Milwaukee Bucks,2010-11,35,47,0.427,91.9,0.43,0.342,17.2,10.5,30.2,40.8,18.8,13.5,4.9
Minnesota Timberwolves,2010-11,17,65,0.207,101.1,0.441,0.376,19.1,13.2,31.2,44.4,20.1,17.0,5.1
New Jersey Nets,2010-11,24,58,0.293,94.2,0.44,0.343,16.3,11.1,29.8,40.8,21.0,14.0,4.7
New Orleans Hornets,2010-11,46,36,0.561,94.9,0.459,0.36,15.0,10.0,30.1,40.1,20.6,13.0,4.4
New York Knicks,2010-11,42,40,0.512,106.5,0.457,0.368,25.4,10.3,30.1,40.5,21.4,13.7,5.8
Oklahoma City Thunder,2010-11,55,27,0.671,104.8,0.464,0.347,17.1,11.0,31.8,42.8,20.4,14.1,5.9
Orlando Magic,2010-11,52,30,0.634,99.2,0.461,0.366,25.6,10.5,32.7,43.2,20.0,14.9,4.7
Philadelphia 76ers,2010-11,41,41,0.5,99.0,0.461,0.355,15.2,10.4,31.4,41.8,22.7,13.0,4.3
Phoenix Suns,2010-11,40,42,0.488,105.0,0.47,0.377,22.6,10.0,30.2,40.2,23.7,14.3,4.4
Portland Trail Blazers,2010-11,48,34,0.585,96.3,0.447,0.345,18.3,12.1,27.2,39.3,21.2,13.0,4.4
